ID;INSTITUTION;INSTITUTION_CODE;LANGUAGE;CHILD_QUOTA;CLASS_COUNT;CLASS;QUOTA_YEAR;SUBMIT_COUNT
53;"Vilniaus Joachimo Lelevelio inžinerijos gimnazija";190000175;lt;20;1;1;2017;2
53;"Vilniaus Joachimo Lelevelio inžinerijos gimnazija";190000175;pl;20;1;1;2017;236
53;"Vilniaus Joachimo Lelevelio inžinerijos gimnazija";190000175;ru;20;1;1;2017;464
117;"Vilniaus Žirmūnų gimnazija";190000360;lt;0;0;1;2017;1529
34;"Vilniaus Baltupių progimnazija";190000894;lt;96;4;1;2017;930
52;"Vilniaus Jeruzalės progimnazija";190000937;lt;96;4;1;2017;960
119;"Vilniaus Žvėryno gimnazija";190001081;lt;0;0;1;2017;1478
103;"Vilniaus Užupio gimnazija";190001124;lt;0;0;1;2017;1452
111;"Vilniaus Vladislavo Sirokomlės gimnazija";190001462;lt;70;3;1;2017;1
111;"Vilniaus Vladislavo Sirokomlės gimnazija";190001462;pl;70;3;1;2017;353
50;"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";190001843;en;94;4;1;2017;1
50;"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";190001843;lt;94;4;1;2017;1997
50;"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";190001843;pl;94;4;1;2017;2
102;"Vilniaus Tuskulėnų gimnazija";190002030;lt;96;4;1;2017;974
87;"Vilniaus Senvagės gimnazija";190002226;lt;0;0;1;2017;781
108;"Vilniaus Viršuliškių progimnazija";190002379;lt;96;4;1;2017;627
108;"Vilniaus Viršuliškių progimnazija";190002379;ru;96;4;1;2017;1
63;"Vilniaus Levo Karsavino mokykla";190002411;ru;72;3;1;2017;710
66;"Vilniaus Maironio progimnazija";190002564;lt;48;2;1;2017;586
78;"Vilniaus Radvilų gimnazija";190003285;lt;0;0;1;2017;1035
69;"Vilniaus Mykolo Biržiškos gimnazija";190003328;lt;0;0;1;2017;1847
29;"Vilniaus Aleksandro Puškino mokykla";190003470;ru;89;4;1;2017;682
48;"Vilniaus Gabijos gimnazija";190003513;lt;96;4;1;2017;3113
48;"Vilniaus Gabijos gimnazija";190003513;ru;96;4;1;2017;1
1;"Vilniaus ""Ateities"" mokykla";190003666;ru;80;4;1;2017;442
46;"Vilniaus Fabijoniškių mokykla";190003851;lt;96;4;1;2017;1091
47;"Vilniaus Filaretų pradinė mokykla";190004234;de;96;4;1;2017;1
47;"Vilniaus Filaretų pradinė mokykla";190004234;lt;96;4;1;2017;825
80;"Vilniaus Salomėjos Nėries gimnazija";190004387;lt;0;0;1;2017;691
51;"Vilniaus Gerosios Vilties progimnazija";190004615;lt;96;4;1;2017;543
92;"Vilniaus Simono Konarskio mokykla";190005140;pl;66;3;1;2017;367
81;"Vilniaus Sausio 13-osios progimnazija";190005293;lt;48;2;1;2017;685
60;"Vilniaus karaliaus Mindaugo mokykla";190005336;lt;50;2;1;2017;644
62;"Vilniaus Lazdynų mokykla";190005489;lt;35;2;1;2017;231
62;"Vilniaus Lazdynų mokykla";190005489;pl;35;2;1;2017;411
62;"Vilniaus Lazdynų mokykla";190005489;ru;35;2;1;2017;1026
10;"Vilniaus ""Minties"" gimnazija";190005717;lt;0;0;1;2017;709
12;"Vilniaus ""Ryto"" progimnazija";190006057;lt;72;3;1;2017;732
17;"Vilniaus ""Spindulio"" progimnazija";190006242;lt;72;3;1;2017;717
5;"Vilniaus ""Ąžuolyno"" progimnazija";190006395;lt;78;3;1;2017;1339
5;"Vilniaus ""Ąžuolyno"" progimnazija";190006395;ru;78;3;1;2017;1
75;"Vilniaus Pilaitės gimnazija";190006438;lt;0;0;1;2017;665
86;"Vilniaus Senamiesčio mokykla";190006819;ru;0;0;1;2017;23
28;"Vilniaus Adomo Mickevičiaus licėjus";190006961;pl;0;0;1;2017;315
65;"Vilniaus Liepkalnio mokykla";190007159;pl;48;2;1;2017;128
65;"Vilniaus Liepkalnio mokykla";190007159;ru;48;2;1;2017;318
71;"Vilniaus Naujininkų mokykla";190007344;lt;57;3;1;2017;357
71;"Vilniaus Naujininkų mokykla";190007344;ru;57;3;1;2017;1
15;"Vilniaus ""Saulėtekio"" mokykla-daugiafunkcis centras";190007497;ru;66;3;1;2017;253
9;"Vilniaus ""Laisvės"" gimnazija";190007682;lt;0;0;1;2017;401
59;"Vilniaus Juzefo Ignacijaus Kraševskio gimnazija";190007878;pl;20;1;1;2017;193
24;"Vilniaus ""Žaros"" gimnazija";190007910;lt;65;3;1;2017;1
24;"Vilniaus ""Žaros"" gimnazija";190007910;pl;65;3;1;2017;1
24;"Vilniaus ""Žaros"" gimnazija";190007910;ru;65;3;1;2017;382
73;"Vilniaus Pavilnio pagrindinė mokykla";190008065;pl;7;1;1;2017;70
73;"Vilniaus Pavilnio pagrindinė mokykla";190008065;ru;7;1;1;2017;172
8;"Vilniaus ""Juventos"" gimnazija";190008599;ru;0;0;1;2017;273
61;"Vilniaus Karoliniškių gimnazija";190008631;lt;0;0;1;2017;1147
16;"Vilniaus ""Sietuvos"" progimnazija";190008784;lt;75;3;1;2017;972
114;"Vilniaus Žemynos gimnazija";190008827;lt;0;0;1;2017;1707
114;"Vilniaus Žemynos gimnazija";190008827;ru;0;0;1;2017;2
23;"Vilniaus ""Vyturio"" pradinė mokykla";190009167;lt;96;4;1;2017;745
96;"Vilniaus Šolomo Aleichemo ORT gimnazija";190009352;lt;52;2;1;2017;796
96;"Vilniaus Šolomo Aleichemo ORT gimnazija";190009352;ru;52;2;1;2017;3
26;"Vilniaus ""Židinio"" suaugusiųjų gimnazija";190009733;lt;0;0;1;2017;175
20;"Vilniaus ""Varpo"" suaugusiųjų gimnazija";190009886;lt;0;0;1;2017;43
39;"Vilniaus darželis-mokykla ""Dainorėliai""";190012291;lt;22;1;1;2017;235
37;"Vilniaus darželis - mokykla ""Vaivorykštė""";190013393;ru;52;2;1;2017;286
11;"Vilniaus ""Pelėdos"" pradinė mokykla";190016165;lt;72;3;1;2017;448
107;"Vilniaus Vilkpėdės darželis-mokykla";190016699;lt;0;0;1;2017;12
97;"Vilniaus specialiojo ugdymo centras ""Aidas""";190017790;lt;0;0;1;2017;13
41;"Vilniaus darželis-mokykla ""Šaltinėlis""";190021689;pl;24;1;1;2017;130
36;"Vilniaus darželis - mokykla ""Saulutė""";190022061;ru;30;1;1;2017;114
25;"Vilniaus ""Žiburio"" pradinė mokykla";190022638;lt;72;3;1;2017;667
43;"Vilniaus darželis-mokykla ""Vilija""";190022976;pl;49;2;1;2017;224
38;"Vilniaus darželis-mokykla ""Berželis""";190026120;ru;0;0;1;2017;21
42;"Vilniaus darželis-mokykla ""Svaja""";190026654;ru;48;2;1;2017;235
40;"Vilniaus darželis-mokykla ""Lokiukas""";190028139;ru;52;2;1;2017;236
4;"Vilniaus ""Aušros"" mokykla-darželis";190032365;lt;24;1;1;2017;366
68;"Vilniaus Medeinos pradinė mokykla";190032746;lt;72;3;1;2017;692
22;"Vilniaus ""Vilties"" specialioji mokykla-daugiafunkcinis centras (specialioji mokykla)";190034188;lt;0;0;1;2017;44
83;"Vilniaus savivaldybės Grigiškių darželis-mokykla ""Pelėdžiukas""";190648396;lt;24;1;1;2017;111
85;"Vilniaus savivaldybės Grigiškių pradinė mokykla";190648581;lt;66;3;1;2017;251
84;"Vilniaus savivaldybės Grigiškių gimnazija";190661333;pl;30;2;1;2017;82
84;"Vilniaus savivaldybės Grigiškių gimnazija";190661333;ru;30;2;1;2017;296
82;"Vilniaus savivaldybės Grigiškių ""Šviesos"" gimnazija";190661671;lt;0;0;1;2017;384
120;"Vilniaus ""Vilnios"" pagrindinė mokykla";190978974;lt;16;1;1;2017;169
79;"Vilniaus Salininkų gimnazija";191317118;lt;44;2;1;2017;360
101;"Vilniaus Trakų Vokės gimnazija";191317260;lt;40;2;1;2017;280
18;"Vilniaus ""Šviesos"" pradinė mokykla";191665480;lt;96;4;1;2017;693
6;"Vilniaus ""Genio"" progimnazija";191665719;lt;168;7;1;2017;2428
3;"Vilniaus ""Atžalyno"" mokykla-darželis";191665861;lt;48;2;1;2017;222
56;"Vilniaus Jono Ivaškevičiaus jaunimo mokykla";191709681;lt;0;0;1;2017;20
112;"Vilniaus Volungės darželis-mokykla";191713046;lt;24;1;1;2017;255
113;"Vilniaus Žaliakalnio darželis-mokykla";191713231;pl;40;2;1;2017;106
88;"Vilniaus Šeškinės pradinė mokykla";191713384;lt;72;3;1;2017;494
21;"Vilniaus ""Vilnies"" pagrindinė mokykla";191715435;lt;24;1;1;2017;271
57;"Vilniaus Jono Pauliaus II gimnazija";191715588;lt;0;0;1;2017;2
57;"Vilniaus Jono Pauliaus II gimnazija";191715588;pl;0;0;1;2017;343
76;"Vilniaus Pranciškaus Skorinos gimnazija";191722390;by;20;1;1;2017;105
76;"Vilniaus Pranciškaus Skorinos gimnazija";191722390;ru;20;1;1;2017;3
67;"Vilniaus Martyno Mažvydo progimnazija";195003862;lt;192;8;1;2017;1329
27;"Vilniaus Abraomo Kulviečio klasikinė gimnazija";195005870;lt;96;4;1;2017;1397
19;"Vilniaus ""Taikos"" progimnazija";195007889;lt;72;3;1;2017;1067
116;"Vilniaus Žėručio pradinė mokykla";195007921;lt;96;4;1;2017;836
77;"Vilniaus Prano Mašioto pradinė mokykla";195008076;lt;96;4;1;2017;744
74;"Vilniaus Petro Vileišio progimnazija";195008119;lt;52;2;1;2017;1067
58;"Vilniaus Jono Pauliaus II progimnazija";195472315;lt;100;4;1;2017;3
58;"Vilniaus Jono Pauliaus II progimnazija";195472315;pl;100;4;1;2017;564
110;"Vilniaus Vytės Nemunėlio pradinė mokykla";195472468;lt;66;3;1;2017;916
45;"Vilniaus Emilijos Pliaterytės progimnazija";195472653;lt;120;5;1;2017;1327
45;"Vilniaus Emilijos Pliaterytės progimnazija";195472653;pl;120;5;1;2017;1
35;"Vilniaus Barboros Radvilaitės progimnazija";195474280;lt;96;4;1;2017;653
118;"Vilniaus Žygimanto Augusto pagrindinė mokykla";290003090;lt;66;3;1;2017;835
70;"Vilniaus Naujamiesčio mokykla";290004420;ru;40;2;1;2017;365
105;"Vilniaus Vasilijaus Kačialovo gimnazija";290005860;lt;0;0;1;2017;1
105;"Vilniaus Vasilijaus Kačialovo gimnazija";290005860;ru;0;0;1;2017;679
93;"Vilniaus Simono Stanevičiaus progimnazija";290008970;lt;96;4;1;2017;960
7;"Vilniaus ""Gijos"" jaunimo mokykla";290010850;lt;0;0;1;2017;43
104;"Vilniaus Vaduvos darželis-mokykla";290013960;lt;48;2;1;2017;124
44;"Vilniaus darželis-mokykla ""Žiburėlis""";290028510;lt;0;0;1;2017;12
49;"Vilniaus Gabrielės Petkevičaitės-Bitės suaugusiųjų mokymo centras";291710460;lt;0;0;1;2017;3
115;"Vilniaus Žemynos progimnazija";295472120;lt;96;4;1;2017;2006
32;"Vilniaus Antano Vienuolio progimnazija";300134205;lt;72;3;1;2017;1074
109;"Vilniaus Vytauto Didžiojo gimnazija";300134269;lt;0;0;1;2017;2187
91;"Vilniaus Simono Daukanto progimnazija";301806638;lt;96;4;1;2017;1643
90;"Vilniaus Simono Daukanto gimnazija";301806652;lt;0;0;1;2017;2608
