ID;INSTITUTION;INSTITUTION_CODE;LANGUAGE;CHILD_QUOTA;CLASS_COUNT;CLASS;QUOTA_YEAR;SUBMIT_COUNT
53;"Vilniaus Joachimo Lelevelio inžinerijos mokykla";190000175;pl;20;1;1;2017;88
53;"Vilniaus Joachimo Lelevelio inžinerijos mokykla";190000175;ru;20;1;1;2017;198
117;"Vilniaus Žirmūnų gimnazija";190000360;lt;0;0;1;2017;606
34;"Vilniaus Baltupių progimnazija";190000894;lt;96;4;1;2017;335
52;"Vilniaus Jeruzalės progimnazija";190000937;lt;96;4;1;2017;355
119;"Vilniaus Žvėryno gimnazija";190001081;lt;0;0;1;2017;565
103;"Vilniaus Užupio gimnazija";190001124;lt;0;0;1;2017;611
111;"Vilniaus Vladislavo Sirokomlės gimnazija";190001462;pl;70;3;1;2017;110
50;"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";190001843;lt;94;4;1;2017;862
102;"Vilniaus Tuskulėnų gimnazija";190002030;lt;96;4;1;2017;476
87;"Vilniaus Senvagės gimnazija";190002226;lt;0;0;1;2017;186
108;"Vilniaus Viršuliškių mokykla";190002379;lt;96;4;1;2017;234
108;"Vilniaus Viršuliškių mokykla";190002379;ru;96;4;1;2017;1
63;"Vilniaus Levo Karsavino mokykla";190002411;ru;72;3;1;2017;250
66;"Vilniaus Maironio progimnazija";190002564;lt;48;2;1;2017;187
78;"Vilniaus Radvilų gimnazija";190003285;lt;0;0;1;2017;344
69;"Vilniaus Mykolo Biržiškos gimnazija";190003328;lt;0;0;1;2017;757
29;"Vilniaus Aleksandro Puškino mokykla";190003470;ru;89;4;1;2017;227
48;"Vilniaus Gabijos gimnazija";190003513;lt;96;4;1;2017;1232
1;"Vilniaus ""Ateities"" mokykla";190003666;ru;80;4;1;2017;117
46;"Vilniaus Fabijoniškių mokykla";190003851;lt;96;4;1;2017;300
47;"Vilniaus Filaretų pradinė mokykla";190004234;lt;96;4;1;2017;326
80;"Vilniaus Salomėjos Nėries gimnazija";190004387;lt;0;0;1;2017;284
51;"Vilniaus Gerosios Vilties progimnazija";190004615;lt;96;4;1;2017;229
92;"Vilniaus Simono Konarskio mokykla";190005140;pl;66;3;1;2017;64
81;"Vilniaus Sausio 13-osios mokykla";190005293;lt;48;2;1;2017;209
60;"Vilniaus karaliaus Mindaugo mokykla";190005336;lt;50;2;1;2017;192
62;"Vilniaus Lazdynų mokykla";190005489;lt;35;2;1;2017;111
62;"Vilniaus Lazdynų mokykla";190005489;pl;35;2;1;2017;60
62;"Vilniaus Lazdynų mokykla";190005489;ru;35;2;1;2017;234
10;"Vilniaus ""Minties"" gimnazija";190005717;lt;0;0;1;2017;257
12;"Vilniaus ""Ryto"" progimnazija";190006057;lt;72;3;1;2017;253
17;"Vilniaus ""Spindulio"" progimnazija";190006242;lt;72;3;1;2017;281
5;"Vilniaus ""Ąžuolyno"" progimnazija";190006395;lt;78;3;1;2017;504
75;"Vilniaus Pilaitės gimnazija";190006438;lt;0;0;1;2017;217
86;"Vilniaus Senamiesčio mokykla";190006819;ru;0;0;1;2017;23
28;"Vilniaus Adomo Mickevičiaus gimnazija";190006961;pl;0;0;1;2017;96
65;"Vilniaus Liepkalnio pagrindinė mokykla";190007159;pl;48;2;1;2017;28
65;"Vilniaus Liepkalnio pagrindinė mokykla";190007159;ru;48;2;1;2017;88
71;"Vilniaus Naujininkų mokykla";190007344;lt;57;3;1;2017;120
71;"Vilniaus Naujininkų mokykla";190007344;ru;57;3;1;2017;1
15;"Vilniaus ""Saulėtekio"" mokykla-daugiafunkcis centras";190007497;ru;66;3;1;2017;64
9;"Vilniaus ""Laisvės"" gimnazija";190007682;lt;0;0;1;2017;103
59;"Vilniaus Juzefo Ignacijaus Kraševskio gimnazija";190007878;pl;20;1;1;2017;66
24;"Vilniaus ""Žaros"" gimnazija";190007910;lt;65;3;1;2017;1
24;"Vilniaus ""Žaros"" gimnazija";190007910;pl;65;3;1;2017;1
24;"Vilniaus ""Žaros"" gimnazija";190007910;ru;65;3;1;2017;127
73;"Vilniaus Pavilnio pagrindinė mokykla";190008065;pl;7;1;1;2017;20
73;"Vilniaus Pavilnio pagrindinė mokykla";190008065;ru;7;1;1;2017;42
8;"Vilniaus ""Juventos"" gimnazija";190008599;ru;0;0;1;2017;104
61;"Vilniaus Karoliniškių gimnazija";190008631;lt;0;0;1;2017;385
